station,station_naam,valid_time,hi_p10,hi_p50,hi_p90,n_runs,temp_c,rh,run,risico,risico_key,bias_corrected
nickerie,Nieuw Nickerie,2026-07-22 00:00:00+00:00,29.216144479723468,29.731467244841767,29.920988861238225,4.0,26.511102294921898,85.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 03:00:00+00:00,28.945138596209144,29.317043049265852,29.690120723050214,4.0,26.602777099609398,81.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 06:00:00+00:00,27.472119327870463,28.536281177184343,28.7006980338333,4.0,26.170404052734398,84.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 09:00:00+00:00,25.926268711513966,26.040801213582377,26.132287637074807,4.0,25.152032470703148,85.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 12:00:00+00:00,26.373312882317464,26.49935821533206,26.70502692243791,4.0,25.628533935546898,80.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 15:00:00+00:00,29.33668120011227,29.64583556138051,30.027229181585067,4.0,27.267999267578148,71.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 18:00:00+00:00,28.86902391999797,29.294140825468872,29.601806266985033,4.0,27.118615722656273,66.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-22 21:00:00+00:00,28.831485565984508,29.194068835231842,29.389695650863402,4.0,26.715051269531273,74.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-23 00:00:00+00:00,28.3855204829378,28.607795889608774,28.918331391738665,4.0,26.354882812500023,78.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-23 03:00:00+00:00,28.500266532030682,28.576504545632332,28.656406512823086,4.0,26.418328857421898,82.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
nickerie,Nieuw Nickerie,2026-07-23 06:00:00+00:00,26.812789785597083,26.985840744442438,27.95739803445365,4.0,26.254541015625023,83.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-18 06:00:00+00:00,25.87085422600643,26.06967148251006,26.229209459940627,4.0,25.153375244140648,92.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-18 09:00:00+00:00,25.37899385791358,25.40475278642445,25.434350206587073,4.0,24.448175048828148,93.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-18 12:00:00+00:00,27.44960459630034,28.50011544801967,28.54494585636566,4.0,26.408349609375023,80.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-18 15:00:00+00:00,31.945184880413706,32.11297846607671,32.43322235031359,4.0,28.572900390625023,70.5999984741211,2026-07-18 06:00:00+00:00,Let op,let_op,False
paramaribo,Paramaribo (stad),2026-07-18 18:00:00+00:00,28.99837963078296,29.050273919429834,29.479567278122357,4.0,26.611596679687523,82.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-18 21:00:00+00:00,29.537677092839814,29.78767158896984,30.38649147898433,4.0,27.003869628906273,78.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 00:00:00+00:00,28.857079387091126,29.308650505621912,29.762403975897936,4.0,26.439691162109398,82.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 03:00:00+00:00,28.965357041898315,29.325492389221242,29.68878252335015,4.0,26.532037353515648,83.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 06:00:00+00:00,27.09872814804926,28.828302489231724,29.03744615738599,4.0,25.550042724609398,86.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 09:00:00+00:00,25.59299763912627,25.79825913323299,26.05243838840064,4.0,24.961816406250023,90.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 12:00:00+00:00,26.5296525713603,26.65560460620459,26.792984032101135,4.0,25.567742919921898,89.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 15:00:00+00:00,31.79797688141318,31.877121068848034,31.99997217805413,4.0,28.562066650390648,70.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 18:00:00+00:00,31.696988342866142,31.864895657508818,32.09008560284752,4.0,28.173699951171898,74.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-19 21:00:00+00:00,30.295457112326943,30.809729062833817,31.076054727127566,4.0,27.061853027343773,82.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 00:00:00+00:00,29.237029256322113,29.532065671911802,29.963980759194882,4.0,26.667779541015648,82.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 03:00:00+00:00,29.121953884688658,29.25298450216301,29.419510067306835,4.0,26.654687500000023,81.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 06:00:00+00:00,26.273678652021648,26.505768580966553,26.86508464982777,4.0,25.494989013671898,85.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 09:00:00+00:00,25.5632534764608,25.924533759223117,26.33761003239952,4.0,24.650018310546898,90.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 12:00:00+00:00,26.286207269032822,26.615876043107797,28.67437593470937,4.0,25.787866210937523,87.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 15:00:00+00:00,31.417437168941913,31.576091753459217,32.00256938302077,4.0,28.098870849609398,73.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 18:00:00+00:00,31.121147096025343,31.27425969597981,31.72670128450454,4.0,27.901483154296898,75.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-20 21:00:00+00:00,29.70495865245816,30.018883007941845,30.126803849947418,4.0,27.030725097656273,83.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 00:00:00+00:00,28.53707436115026,28.975564055010118,29.056848718042907,4.0,26.208001708984398,85.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 03:00:00+00:00,26.90726977920535,26.935067823198132,27.01722509087459,4.0,25.988641357421898,86.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 06:00:00+00:00,26.096771254221622,26.251524723900715,26.412594172583713,4.0,25.469323730468773,87.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 09:00:00+00:00,25.413030847337538,25.50136313120527,25.65827032979333,4.0,24.505395507812523,91.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 12:00:00+00:00,26.073637078179278,26.516681524912542,26.93269442579484,4.0,25.845635986328148,85.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 15:00:00+00:00,31.483599513058497,31.61384939444507,31.899087617308687,4.0,28.108514404296898,74.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 18:00:00+00:00,31.075792716738803,31.36348304642752,31.673244365268165,4.0,27.821984863281273,75.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-21 21:00:00+00:00,29.01980984924814,29.89687890456027,30.528206474088176,4.0,26.954400634765648,78.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 00:00:00+00:00,28.630684154784785,29.042185193460966,29.632337999602665,4.0,26.411096191406273,82.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 03:00:00+00:00,27.353546179367243,28.58164538693753,28.859531273186967,4.0,26.102777099609398,83.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 06:00:00+00:00,25.555139419979543,25.681421019236282,26.076972332848467,4.0,24.770379638671898,85.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 09:00:00+00:00,24.646462162017855,24.878536627027753,25.04325710423791,4.0,24.252038574218773,84.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 12:00:00+00:00,26.041441932678243,26.19677160474992,26.628225395202666,4.0,25.428521728515648,75.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 15:00:00+00:00,29.724125300103676,30.280170637792505,30.75270783367976,4.0,27.968011474609398,60.79999923706055,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 18:00:00+00:00,29.89929933776061,30.164794895666184,30.43113596236823,4.0,27.718621826171898,67.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-22 21:00:00+00:00,29.213532502972726,29.378283167347277,29.470481850474204,4.0,26.815057373046898,78.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-23 00:00:00+00:00,26.912171866099072,27.688643511344296,28.46744718358362,4.0,26.254876708984398,83.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-23 03:00:00+00:00,26.558773144192195,26.696417634752095,28.015181057107796,4.0,25.818322753906273,85.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
paramaribo,Paramaribo (stad),2026-07-23 06:00:00+00:00,26.197170343187146,26.363858634101046,26.55958597861398,4.0,25.354547119140648,87.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-18 06:00:00+00:00,23.519411764356853,23.554824860890726,23.604202071719726,4.0,22.653375244140648,99.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-18 09:00:00+00:00,22.708826565212703,22.814428982204888,22.973931902991424,4.0,22.148187255859398,99.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-18 12:00:00+00:00,27.32923123288743,28.387928956268162,28.594228817721554,4.0,26.408349609375023,79.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-18 15:00:00+00:00,33.83888606055839,33.887388863628445,34.04544717159373,4.0,32.07290039062502,48.29999923706055,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-18 18:00:00+00:00,31.987909923035467,32.77139833815674,33.40799677715606,4.0,29.511590576171898,65.9000015258789,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-18 21:00:00+00:00,25.85436996120879,26.39314496994021,28.321398144745213,4.0,25.603875732421898,84.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 00:00:00+00:00,24.47034495162966,24.780420023600286,25.466453313191757,4.0,23.639703369140648,92.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 03:00:00+00:00,23.80569376924305,24.01667677137589,24.75256493377688,4.0,22.932031250000023,93.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 06:00:00+00:00,23.251816431257485,23.66068351109825,24.318488945431206,4.0,22.750024414062523,94.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 09:00:00+00:00,22.64433854844838,23.160352253384087,23.71618577787614,4.0,22.061822509765648,98.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 12:00:00+00:00,25.91423613866173,27.56458527535088,28.33217438856094,4.0,26.567742919921898,73.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-19 15:00:00+00:00,32.85267473525851,33.026677149354434,33.940252718513,4.0,31.962060546875023,43.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-19 18:00:00+00:00,33.90090200002323,34.290206088869795,34.96023230232767,4.0,33.97368774414065,33.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-19 21:00:00+00:00,29.267987589770975,30.44566216079226,31.63126478662479,4.0,29.161859130859398,61.29999923706055,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 00:00:00+00:00,24.498143127441438,24.910485227372938,25.41317497295807,4.0,24.367791748046898,90.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 03:00:00+00:00,23.610530386606882,23.884504848056398,24.074225744883243,4.0,23.054681396484398,93.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 06:00:00+00:00,22.864006379869277,23.251591498057078,23.717730169084366,4.0,22.194970703125023,98.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 09:00:00+00:00,22.826363726721894,22.976442640092657,23.079682849036352,4.0,22.150018310546898,99.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 12:00:00+00:00,26.498325318230552,27.79428759435256,28.89929149953193,4.0,26.587884521484398,76.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-20 15:00:00+00:00,34.160441725504775,34.18529976146339,34.396481477832715,4.0,32.19887695312502,47.79999923706055,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-20 18:00:00+00:00,35.562589568923315,35.57762929862213,35.64076617767824,4.0,34.5014587402344,37.29999923706055,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-20 21:00:00+00:00,25.461613299899657,25.81691489537559,29.146583498456245,4.0,27.330712890625023,79.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 00:00:00+00:00,23.776698855506087,23.840510815514495,23.911641026390953,4.0,22.907983398437523,97.80000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 03:00:00+00:00,23.08992981889515,23.429151367611386,23.604056029849605,4.0,22.688623046875023,98.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 06:00:00+00:00,22.860869002448215,23.077653482225237,23.30236724005808,4.0,22.169305419921898,99.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 09:00:00+00:00,22.596955597347716,22.695962795681453,22.915804597642712,4.0,21.905389404296898,99.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 12:00:00+00:00,26.05841768900556,26.224524724748424,26.29214321051706,4.0,25.345635986328148,88.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-21 15:00:00+00:00,34.06070151239658,34.17466016077267,34.30870143906432,4.0,31.708489990234398,51.29999923706055,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-21 18:00:00+00:00,33.718426482899666,34.51820731522852,35.07533076037203,4.0,34.0219665527344,37.70000076293945,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-21 21:00:00+00:00,30.784248141547913,31.664100304039966,32.22611861599223,4.0,28.954400634765648,65.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
